movieId,full title,genres,title,year,gross ($),# oscar nominations,golden globe,average rating,# ratings,imdb rating,rotten tomatoes rating,imdb link,tmdb link,corrected imdb link,condensed name
43,Restoration (1995),Drama,Restoration,1995,,2,0,3.272727273,11,,,114272,35196,TT0114272,theRestoration
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat,1995,,0,0,2.70754717,53,,,113855,9312,TT0113855,theMortalKombat
45,To Die For (1995),Comedy|Drama|Thriller,To Die For,1995,,0,0,3.361111111,36,,,114681,577,TT0114681,theToDieFor
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt,1995,,0,0,3.166666667,12,,,113347,11861,TT0113347,theHowtoMakeanAmericanQuilt
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Seven (a.k.a. Se7en),1995,,0,0,4.130102041,196,,,114369,807,TT0114369,theSeven(a.k.a.Se7en)
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Pocahontas,1995,,2,0,3.107142857,56,,,114148,10530,TT0114148,thePocahontas
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling,1995,,0,0,4,2,,,114916,8391,TT0114916,theWhenNightIsFalling
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Usual Suspects, The",1995,,0,0,4.328947368,228,,,114814,629,TT0114814,"theUsualSuspects,The"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Mighty Aphrodite,1995,,1,0,3.581081081,37,,,113819,11448,TT0113819,theMightyAphrodite
53,Lamerica (1994),Adventure|Drama,Lamerica,1994,,0,0,3,2,,,110299,49133,TT0110299,theLamerica
54,"Big Green, The (1995)",Children|Comedy,"Big Green, The",1995,,0,0,3,4,,,112499,26441,TT0112499,"theBigGreen,The"
55,Georgia (1995),Drama,Georgia,1995,,0,0,3,4,,,113158,97406,TT0113158,theGeorgia
57,Home for the Holidays (1995),Drama,Home for the Holidays,1995,,0,0,3.666666667,9,,,113321,9089,TT0113321,theHomefortheHolidays
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"Postman, The (Postino, Il)",1994,,0,0,4.053191489,47,,,110877,11010,TT0110877,"thePostman,The(Postino,Il)"
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,"Confessional, The (Confessionnal, Le)",1995,,0,0,3,3,,,112714,99040,TT0112714,"theConfessional,The(Confessionnal,Le)"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Indian in the Cupboard, The",1995,,0,0,3.045454545,22,,,113419,11359,TT0113419,"theIndianintheCupboard,The"
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye,1996,,0,0,3.75,8,,,116260,17182,TT0116260,theEyeforanEye
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus,1995,,0,0,3.873626374,91,,,113862,2054,TT0113862,theMr.Holland'sOpus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,,0,0,2.944444444,18,,,116126,10607,TT0116126,theDon'tBeaMenacetoSouthCentralWhileDrinkingYourJuiceintheHood
64,Two if by Sea (1996),Comedy|Romance,Two if by Sea,1996,,0,0,2.785714286,7,,,118002,19760,TT0118002,theTwoifbySea
65,Bio-Dome (1996),Comedy,Bio-Dome,1996,,0,0,2.288461538,26,,,115683,9536,TT0115683,theBio-Dome
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace,1996,,0,0,2.5,20,,,116839,11525,TT0116839,theLawnmowerMan2:BeyondCyberspace
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist (Gazon maudit),1995,,0,0,3.75,4,,,113149,4482,TT0113149,theFrenchTwist(Gazonmaudit)
69,Friday (1995),Comedy,Friday,1995,,0,0,3.71875,16,,,113118,10634,TT0113118,theFriday
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,From Dusk Till Dawn,1996,,0,0,3.401515152,66,,,116367,755,TT0116367,theFromDuskTillDawn
71,Fair Game (1995),Action,Fair Game,1995,,0,0,2.25,6,,,113010,11859,TT0113010,theFairGame
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming,1995,,0,0,4.5,2,,,113537,28387,TT0113537,theKickingandScreaming
73,"Misérables, Les (1995)",Drama|War,"Misérables, Les",1995,,0,0,4.15,10,,,113828,48750,TT0113828,"theMisérables,Les"
74,Bed of Roses (1996),Drama|Romance,Bed of Roses,1996,,0,0,3,15,,,115644,20927,TT0115644,theBedofRoses
75,Big Bully (1996),Comedy|Drama,Big Bully,1996,,0,0,2.25,2,,,115676,36929,TT0115676,theBigBully
76,Screamers (1995),Action|Sci-Fi|Thriller,Screamers,1995,,0,0,3.175,20,,,114367,9102,TT0114367,theScreamers
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,"Crossing Guard, The",1995,,0,0,3.4,10,,,112744,27526,TT0112744,"theCrossingGuard,The"
79,"Juror, The (1996)",Drama|Thriller,"Juror, The",1996,,0,0,3.272727273,22,,,116731,9623,TT0116731,"theJuror,The"
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,"White Balloon, The (Badkonake sefid)",1995,,0,0,3.333333333,3,,,112445,46785,TT0112445,"theWhiteBalloon,The(Badkonakesefid)"
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver When You're Dead,1995,,0,0,3.214285714,21,,,114660,400,TT0114660,theThingstoDoinDenverWhenYou'reDead
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Antonia's Line (Antonia),1995,,0,0,3.45,10,,,112379,880,TT0112379,theAntonia'sLine(Antonia)
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Once Upon a Time... When We Were Colored,1995,,0,0,3.8,5,,,114039,146599,TT0114039,theOnceUponaTime...WhenWeWereColored
84,Last Summer in the Hamptons (1995),Comedy|Drama,Last Summer in the Hamptons,1995,,0,0,4,3,,,113612,188588,TT0113612,theLastSummerintheHamptons
85,Angels and Insects (1995),Drama|Romance,Angels and Insects,1995,,1,0,3.85,10,,,112365,8447,TT0112365,theAngelsandInsects
86,White Squall (1996),Action|Adventure|Drama,White Squall,1996,,0,0,3.333333333,18,,,118158,10534,TT0118158,theWhiteSquall
87,Dunston Checks In (1996),Children|Comedy,Dunston Checks In,1996,,0,0,2.416666667,6,,,116151,17414,TT0116151,theDunstonChecksIn
88,Black Sheep (1996),Comedy,Black Sheep,1996,,0,0,3,26,,,115697,13997,TT0115697,theBlackSheep
89,Nick of Time (1995),Action|Thriller,Nick of Time,1995,,0,0,3.117647059,17,,,113972,2086,TT0113972,theNickofTime
90,"Journey of August King, The (1995)",Drama,"Journey of August King, The",1995,,0,0,3,3,,,113490,61548,TT0113490,"theJourneyofAugustKing,The"
92,Mary Reilly (1996),Drama|Horror|Thriller,Mary Reilly,1996,,0,0,2.954545455,11,,,117002,9095,TT0117002,theMaryReilly
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Vampire in Brooklyn,1995,,0,0,2.555555556,9,,,114825,12158,TT0114825,theVampireinBrooklyn
94,Beautiful Girls (1996),Comedy|Drama|Romance,Beautiful Girls,1996,,0,0,3.772727273,11,,,115639,9283,TT0115639,theBeautifulGirls
95,Broken Arrow (1996),Action|Adventure|Thriller,Broken Arrow,1996,,2,0,3.096330275,109,,,115759,9208,TT0115759,theBrokenArrow
96,In the Bleak Midwinter (1995),Comedy|Drama,In the Bleak Midwinter,1995,,0,0,3.833333333,3,,,113403,40154,TT0113403,theIntheBleakMidwinter
97,"Hate (Haine, La) (1995)",Crime|Drama,"Hate (Haine, La)",1995,,0,0,3.892857143,14,,,113247,406,TT0113247,"theHate(Haine,La)"
100,City Hall (1996),Drama|Thriller,City Hall,1996,,0,0,3.461538462,13,,,115907,11062,TT0115907,theCityHall
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Bottle Rocket,1996,,0,0,3.75,20,,,115734,13685,TT0115734,theBottleRocket
102,Mr. Wrong (1996),Comedy,Mr. Wrong,1996,,0,0,2.714285714,7,,,117102,47475,TT0117102,theMr.Wrong
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Unforgettable,1996,,0,0,3.25,6,,,118040,2045,TT0118040,theUnforgettable
104,Happy Gilmore (1996),Comedy,Happy Gilmore,1996,,0,0,3.449367089,79,,,116483,9614,TT0116483,theHappyGilmore
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Bridges of Madison County, The",1995,,0,1,3.357142857,35,,,112579,688,TT0112579,"theBridgesofMadisonCounty,The"
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Muppet Treasure Island,1996,,0,0,3.421052632,38,,,117110,10874,TT0117110,theMuppetTreasureIsland
108,Catwalk (1996),Documentary,Catwalk,1996,,0,0,2,1,,,112646,89333,TT0112646,theCatwalk
110,Braveheart (1995),Action|Drama|War,Braveheart,1995,,10,1,4.108870968,248,,,112573,197,TT0112573,theBraveheart
111,Taxi Driver (1976),Crime|Drama|Thriller,Taxi Driver,1976,,2,0,4.029661017,118,,,75314,103,TT0075314,theTaxiDriver
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Rumble in the Bronx (Hont faan kui),1995,,0,0,3.392156863,51,,,113326,33542,TT0113326,theRumbleintheBronx(Hontfaankui)
113,Before and After (1996),Drama|Mystery,Before and After,1996,,0,0,3.5,6,,,115645,43566,TT0115645,theBeforeandAfter
114,Margaret's Museum (1995),Drama,Margaret's Museum,1995,,0,0,4,3,,,113774,71754,TT0113774,theMargaret'sMuseum
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,"Happiness Is in the Field (Bonheur est dans le pré, Le)",1995,,0,0,4,1,,,112556,43612,TT0112556,"theHappinessIsintheField(Bonheurestdanslepré,Le)"
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered,1995,,1,0,3.428571429,7,,,112373,51352,TT0112373,theAnneFrankRemembered
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,"Young Poisoner's Handbook, The",1995,,0,0,3.722222222,9,,,115033,16934,TT0115033,"theYoungPoisoner'sHandbook,The"
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell,1996,,0,0,3.5,8,,,116606,10324,TT0116606,theIfLucyFell
121,"Boys of St. Vincent, The (1992)",Drama,"Boys of St. Vincent, The",1992,,0,0,3.4,5,,,106473,32119,TT0106473,"theBoysofSt.Vincent,The"
122,Boomerang (1992),Comedy|Romance,Boomerang,1992,,0,0,3.4,15,,,103859,11066,TT0103859,theBoomerang
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Chungking Express (Chung Hing sam lam),1994,,0,0,3.8,15,,,109424,11104,TT0109424,theChungkingExpress(ChungHingsamlam)
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,"Star Maker, The (Uomo delle stelle, L')",1995,,0,0,5,1,,,114808,37975,TT0114808,"theStarMaker,The(Uomodellestelle,L')"
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster,1996,,0,0,3.5,14,,,116324,2074,TT0116324,theFlirtingWithDisaster
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,"NeverEnding Story III, The",1994,,0,0,2.125,4,,,110647,27793,TT0110647,"theNeverEndingStoryIII,The"
129,Pie in the Sky (1996),Comedy|Romance,Pie in the Sky,1996,,0,0,4,1,,,114131,110972,TT0114131,thePieintheSky
131,Frankie Starlight (1995),Drama|Romance,Frankie Starlight,1995,,0,0,3,2,,,113107,73067,TT0113107,theFrankieStarlight
132,Jade (1995),Thriller,Jade,1995,,0,0,2.666666667,9,,,113451,11863,TT0113451,theJade
135,Down Periscope (1996),Comedy,Down Periscope,1996,,0,0,3.274193548,31,,,116130,9101,TT0116130,theDownPeriscope
137,Man of the Year (1995),Documentary,Man of the Year,1995,,0,0,2.5,2,,,113756,5757,TT0113756,theManoftheYear
138,"Neon Bible, The (1995)",Drama,"Neon Bible, The",1995,,0,0,1,1,,,113952,39428,TT0113952,"theNeonBible,The"
140,Up Close and Personal (1996),Drama|Romance,Up Close and Personal,1996,,1,0,3.175,20,,,118055,9302,TT0118055,theUpCloseandPersonal
141,"Birdcage, The (1996)",Comedy,"Birdcage, The",1996,,0,1,3.551886792,106,,,115685,11000,TT0115685,"theBirdcage,The"
144,"Brothers McMullen, The (1995)",Comedy,"Brothers McMullen, The",1995,,0,0,3.333333333,21,,,112585,16388,TT0112585,"theBrothersMcMullen,The"
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Bad Boys,1995,,0,0,3.432835821,67,,,112442,9737,TT0112442,theBadBoys
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,"Amazing Panda Adventure, The",1995,,0,0,3.666666667,3,,,112342,30765,TT0112342,"theAmazingPandaAdventure,The"
147,"Basketball Diaries, The (1995)",Drama,"Basketball Diaries, The",1995,,0,0,3.884615385,13,,,112461,10474,TT0112461,"theBasketballDiaries,The"
149,Amateur (1994),Crime|Drama|Thriller,Amateur,1994,,0,0,3.8125,8,,,109093,30157,TT0109093,theAmateur
150,Apollo 13 (1995),Adventure|Drama|IMAX,Apollo 13,1995,,7,1,3.969543147,197,,,112384,568,TT0112384,theApollo13
151,Rob Roy (1995),Action|Drama|Romance|War,Rob Roy,1995,,0,0,3.484615385,65,,,114287,11780,TT0114287,theRobRoy
152,"Addiction, The (1995)",Drama|Horror,"Addiction, The",1995,,0,0,2.833333333,3,,,112288,34996,TT0112288,"theAddiction,The"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever,1995,,3,0,2.964968153,157,,,112462,414,TT0112462,theBatmanForever
154,Beauty of the Day (Belle de jour) (1967),Drama,Beauty of the Day (Belle de jour),1967,,0,0,4.026315789,19,,,61395,649,TT0061395,theBeautyoftheDay(Belledejour)
155,Beyond Rangoon (1995),Adventure|Drama|War,Beyond Rangoon,1995,,0,0,3.285714286,7,,,112495,1873,TT0112495,theBeyondRangoon
156,Blue in the Face (1995),Comedy|Drama,Blue in the Face,1995,,0,0,4,5,,,112541,5894,TT0112541,theBlueintheFace
157,Canadian Bacon (1995),Comedy|War,Canadian Bacon,1995,,0,0,3.071428571,7,,,109370,1775,TT0109370,theCanadianBacon
158,Casper (1995),Adventure|Children,Casper,1995,,0,0,2.948529412,68,,,112642,8839,TT0112642,theCasper
159,Clockers (1995),Crime|Drama|Mystery,Clockers,1995,,0,0,3.566666667,15,,,112688,20649,TT0112688,theClockers
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo,1995,,0,0,2.725490196,51,,,112715,10329,TT0112715,theCongo
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide,1995,,3,0,3.822429907,107,,,112740,8963,TT0112740,theCrimsonTide
162,Crumb (1994),Documentary,Crumb,1994,,0,0,3.795454545,22,,,109508,26564,TT0109508,theCrumb
163,Desperado (1995),Action|Romance|Western,Desperado,1995,,0,0,3.370967742,62,,,112851,8068,TT0112851,theDesperado
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress,1995,,0,0,3.475,20,,,112857,8512,TT0112857,theDevilinaBlueDress
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Die Hard: With a Vengeance,1995,,0,0,3.5,150,,,112864,1572,TT0112864,theDieHard:WithaVengeance
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,"Doom Generation, The",1995,,0,0,2.833333333,6,,,112887,13552,TT0112887,"theDoomGeneration,The"
168,First Knight (1995),Action|Drama|Romance,First Knight,1995,,0,0,3.096153846,52,,,113071,6520,TT0113071,theFirstKnight
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Free Willy 2: The Adventure Home,1995,,0,0,2.4375,16,,,113114,9073,TT0113114,theFreeWilly2:TheAdventureHome
170,Hackers (1995),Action|Adventure|Crime|Thriller,Hackers,1995,,0,0,2.958333333,36,,,113243,10428,TT0113243,theHackers
171,Jeffrey (1995),Comedy|Drama,Jeffrey,1995,,0,0,2.75,2,,,113464,17447,TT0113464,theJeffrey
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Johnny Mnemonic,1995,,0,0,2.453846154,65,,,113481,9886,TT0113481,theJohnnyMnemonic
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Judge Dredd,1995,,0,0,2.64084507,71,,,113492,9482,TT0113492,theJudgeDredd
174,Jury Duty (1995),Comedy,Jury Duty,1995,,0,0,2.25,6,,,113500,19326,TT0113500,theJuryDuty
175,Kids (1995),Drama,Kids,1995,,0,0,3.425925926,27,,,113540,9344,TT0113540,theKids
176,Living in Oblivion (1995),Comedy,Living in Oblivion,1995,,0,0,4.111111111,9,,,113677,9071,TT0113677,theLivinginOblivion
177,Lord of Illusions (1995),Horror,Lord of Illusions,1995,,0,0,3.375,8,,,113690,8973,TT0113690,theLordofIllusions
178,Love & Human Remains (1993),Comedy|Drama,Love & Human Remains,1993,,0,0,4,3,,,107447,15730,TT0107447,theLove&HumanRemains
179,Mad Love (1995),Drama|Romance,Mad Love,1995,,0,0,3,5,,,113729,47608,TT0113729,theMadLove
180,Mallrats (1995),Comedy|Romance,Mallrats,1995,,0,0,3.452380952,42,,,113749,2293,TT0113749,theMallrats
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Mighty Morphin Power Rangers: The Movie,1995,,0,0,1,7,,,113820,9070,TT0113820,theMightyMorphinPowerRangers:TheMovie
182,Moonlight and Valentino (1995),Drama|Romance,Moonlight and Valentino,1995,,0,0,3,6,,,113851,68274,TT0113851,theMoonlightandValentino
183,Mute Witness (1994),Comedy|Horror|Thriller,Mute Witness,1994,,0,0,3,2,,,110604,48787,TT0110604,theMuteWitness
184,Nadja (1994),Drama,Nadja,1994,,0,0,3.5,2,,,110620,34574,TT0110620,theNadja
185,"Net, The (1995)",Action|Crime|Thriller,"Net, The",1995,,0,0,3.114285714,105,,,113957,1642,TT0113957,"theNet,The"
186,Nine Months (1995),Comedy|Romance,Nine Months,1995,,0,0,3.011363636,44,,,113986,11472,TT0113986,theNineMonths
187,Party Girl (1995),Comedy,Party Girl,1995,,0,0,3.2,5,,,114095,36196,TT0114095,thePartyGirl
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,"Prophecy, The",1995,,0,0,3.25,12,,,114194,11980,TT0114194,"theProphecy,The"
190,Safe (1995),Thriller,Safe,1995,,0,0,3,3,,,114323,32646,TT0114323,theSafe
191,"Scarlet Letter, The (1995)",Drama|Romance,"Scarlet Letter, The",1995,,0,0,2.625,8,,,114345,10533,TT0114345,"theScarletLetter,The"
193,Showgirls (1995),Drama,Showgirls,1995,,0,0,2.032258065,31,,,114436,10802,TT0114436,theShowgirls
194,Smoke (1995),Comedy|Drama,Smoke,1995,,0,0,3.981481481,27,,,114478,10149,TT0114478,theSmoke
195,Something to Talk About (1995),Comedy|Drama|Romance,Something to Talk About,1995,,0,0,3,13,,,114496,18402,TT0114496,theSomethingtoTalkAbout
196,Species (1995),Horror|Sci-Fi,Species,1995,,0,0,2.89516129,62,,,114508,9348,TT0114508,theSpecies
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Strange Days,1995,,0,0,3.316666667,30,,,114558,281,TT0114558,theStrangeDays
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,,0,0,4,3,,,58450,5967,TT0058450,"theUmbrellasofCherbourg,The(ParapluiesdeCherbourg,Les)"
200,"Tie That Binds, The (1995)",Thriller,"Tie That Binds, The",1995,,0,0,3,2,,,114666,79593,TT0114666,"theTieThatBinds,The"
201,Three Wishes (1995),Drama|Fantasy,Three Wishes,1995,,0,0,1,1,,,114663,47939,TT0114663,theThreeWishes
202,Total Eclipse (1995),Drama|Romance,Total Eclipse,1995,,0,0,3.25,2,,,114702,36834,TT0114702,theTotalEclipse
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,,0,0,2.840909091,22,,,114682,9090,TT0114682,"theToWongFoo,ThanksforEverything!JulieNewmar"
204,Under Siege 2: Dark Territory (1995),Action,Under Siege 2: Dark Territory,1995,,0,0,2.720588235,34,,,114781,3512,TT0114781,theUnderSiege2:DarkTerritory
205,Unstrung Heroes (1995),Comedy|Drama,Unstrung Heroes,1995,,1,0,3,5,,,114798,52856,TT0114798,theUnstrungHeroes
206,Unzipped (1995),Documentary,Unzipped,1995,,0,0,2.333333333,3,,,114805,77350,TT0114805,theUnzipped
207,"Walk in the Clouds, A (1995)",Drama|Romance,"Walk in the Clouds, A",1995,,0,0,3.47826087,23,,,114887,9560,TT0114887,"theWalkintheClouds,A"
208,Waterworld (1995),Action|Adventure|Sci-Fi,Waterworld,1995,,1,0,2.93495935,123,,,114898,9804,TT0114898,theWaterworld
209,White Man's Burden (1995),Drama,White Man's Burden,1995,,0,0,2.333333333,3,,,114928,31611,TT0114928,theWhiteMan'sBurden
210,Wild Bill (1995),Western,Wild Bill,1995,,0,0,3,1,,,114938,65796,TT0114938,theWildBill
211,"Browning Version, The (1994)",Drama,"Browning Version, The",1994,,0,0,4.25,4,,,109340,49805,TT0109340,"theBrowningVersion,The"
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Bushwhacked,1995,,0,0,1.5,2,,,112602,26258,TT0112602,theBushwhacked
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Burnt by the Sun (Utomlyonnye solntsem),1994,,0,0,4.4,10,,,111579,50797,TT0111579,theBurntbytheSun(Utomlyonnyesolntsem)
